SampleID	SampleSetID	CellType	FamilyID	Sex
NA18486	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y001	Male
NA18498	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y003	Male
NA18499	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y003	Female
NA18501	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y004	Male
NA18502	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y004	Female
NA18504	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y005	Male
NA18505	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y005	Female
NA18507	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y009	Male
NA18508	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y009	Female
NA18510	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y121	Male
NA18511	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y010	Female
NA18516	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y013	Male
NA18517	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y013	Female
NA18519	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y014	Male
NA18520	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y014	Female
NA18522	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y016	Male
NA18523	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y016	Female
NA18852	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y018	Female
NA18853	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y018	Male
NA18855	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y023	Female
NA18856	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y023	Male
NA18858	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y012	Female
NA18859	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y012	Male
NA18861	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y024	Female
NA18862	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y024	Male
NA18870	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y017	Female
NA18871	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y017	Male
NA18909	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y027	Female
NA18912	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y028	Female
NA18913	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y028	Male
NA18916	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y030	Female
NA19092	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y040	Male
NA19093	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y040	Female
NA19098	INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA	B-Lymphocyte	Y105	Male
